T27,Water supply and sanitation services,,,,,
142,Asia,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",35.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
142,Asia,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",46.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
142,Asia,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",79.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
142,Asia,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",71.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
142,Asia,2022,"Safely managed drinking water sources, total (Proportion of population with access)",75.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
142,Asia,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",46.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
142,Asia,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",49.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
142,Asia,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",58.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
143,Central Asia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",87.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
143,Central Asia,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",49.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
143,Central Asia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",67.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
143,Central Asia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",74.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
143,Central Asia,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",79.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
143,Central Asia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",76.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
143,Central Asia,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",87.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
143,Central Asia,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",60.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
143,Central Asia,2015,"Safely managed drinking water sources, total (Proportion of population with access)",73.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
143,Central Asia,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",73.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
143,Central Asia,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",80.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
143,Central Asia,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",77.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
143,Central Asia,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",88.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
143,Central Asia,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",68.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
143,Central Asia,2022,"Safely managed drinking water sources, total (Proportion of population with access)",77.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
143,Central Asia,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",72.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
143,Central Asia,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",81.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
143,Central Asia,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",77.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
30,Eastern Asia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",91.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
30,Eastern Asia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",54.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
30,Eastern Asia,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",17.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
30,Eastern Asia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",41.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
30,Eastern Asia,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",94.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
30,Eastern Asia,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",66.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
30,Eastern Asia,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",26.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
30,Eastern Asia,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",54.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
30,Eastern Asia,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",97.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
30,Eastern Asia,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",77.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
30,Eastern Asia,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",38.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
30,Eastern Asia,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",70.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
35,South-eastern Asia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",48.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
35,South-eastern Asia,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",30.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
35,South-eastern Asia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",38.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
35,South-eastern Asia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",42.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
35,South-eastern Asia,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",38.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
35,South-eastern Asia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",40.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
35,South-eastern Asia,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",48.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
35,South-eastern Asia,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",32.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
35,South-eastern Asia,2015,"Safely managed drinking water sources, total (Proportion of population with access)",40.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
35,South-eastern Asia,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",44.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
35,South-eastern Asia,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",43.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
35,South-eastern Asia,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",43.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
35,South-eastern Asia,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",49.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
35,South-eastern Asia,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",34.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
35,South-eastern Asia,2022,"Safely managed drinking water sources, total (Proportion of population with access)",42.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
35,South-eastern Asia,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",46.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
35,South-eastern Asia,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",51.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
35,South-eastern Asia,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",49.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
34,Southern Asia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",61.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
34,Southern Asia,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",50.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
34,Southern Asia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",34.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
34,Southern Asia,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",23.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
34,Southern Asia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",26.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
34,Southern Asia,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",63.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
34,Southern Asia,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",57.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
34,Southern Asia,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",38.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
34,Southern Asia,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",35.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
34,Southern Asia,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",36.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
34,Southern Asia,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",65.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
34,Southern Asia,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",67.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
34,Southern Asia,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",44.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
34,Southern Asia,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",53.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
34,Southern Asia,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",49.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
145,Western Asia,2007,"Safely managed drinking water sources, urban (Proportion of population with access)",75.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
145,Western Asia,2007,"Safely managed drinking water sources, total (Proportion of population with access)",71.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
145,Western Asia,2007,"Safely managed sanitation facilities, urban (Proportion of population with access)",49.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
145,Western Asia,2007,"Safely managed sanitation facilities, rural (Proportion of population with access)",45.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
145,Western Asia,2007,"Safely managed sanitation facilities, total (Proportion of population with access)",53.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
145,Western Asia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",73.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
145,Western Asia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",53.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
145,Western Asia,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",47.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
145,Western Asia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",57.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
145,Western Asia,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",75.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
145,Western Asia,2015,"Safely managed drinking water sources, total (Proportion of population with access)",74.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
145,Western Asia,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",58.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
145,Western Asia,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",50.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
145,Western Asia,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",61.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
145,Western Asia,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",76.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
145,Western Asia,2022,"Safely managed drinking water sources, total (Proportion of population with access)",76.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
145,Western Asia,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",65.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
145,Western Asia,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",56.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
145,Western Asia,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",68.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
150,Europe,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",95.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
150,Europe,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",84.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
150,Europe,2010,"Safely managed drinking water sources, total (Proportion of population with access)",92.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
150,Europe,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",75.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
150,Europe,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",44.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
150,Europe,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",74.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
150,Europe,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",95.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
150,Europe,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",86.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
150,Europe,2015,"Safely managed drinking water sources, total (Proportion of population with access)",93.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
150,Europe,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",77.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
150,Europe,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",46.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
150,Europe,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",77.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
150,Europe,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",95.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
150,Europe,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",86.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
150,Europe,2022,"Safely managed drinking water sources, total (Proportion of population with access)",93.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
150,Europe,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",80.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
150,Europe,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",49.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
150,Europe,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",79.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
151,Eastern Europe,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",68.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
151,Eastern Europe,2010,"Safely managed drinking water sources, total (Proportion of population with access)",82.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
151,Eastern Europe,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",54.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
151,Eastern Europe,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",61.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
151,Eastern Europe,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",73.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
