T02,"Population, density and surface area",,,,,
145,Western Asia,2024,Population density,64.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
150,Europe,2010,Population mid-year estimates (millions),738.15,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
150,Europe,2010,Population mid-year estimates for males (millions),354.58,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
150,Europe,2010,Population mid-year estimates for females (millions),383.56,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
150,Europe,2010,Sex ratio (males per 100 females),92.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
150,Europe,2010,Population aged 0 to 14 years old (percentage),15.6,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
150,Europe,2010,Population aged 60+ years old (percentage),21.9,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
150,Europe,2010,Population density,33.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
150,Europe,2015,Population mid-year estimates (millions),744.24,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
150,Europe,2015,Population mid-year estimates for males (millions),358.41,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
150,Europe,2015,Population mid-year estimates for females (millions),385.83,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
150,Europe,2015,Sex ratio (males per 100 females),92.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
150,Europe,2015,Population aged 0 to 14 years old (percentage),15.8,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
150,Europe,2015,Population aged 60+ years old (percentage),23.7,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
150,Europe,2015,Population density,33.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
150,Europe,2022,Population mid-year estimates (millions),746.96,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
150,Europe,2022,Population mid-year estimates for males (millions),360.72,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
150,Europe,2022,Population mid-year estimates for females (millions),386.24,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
150,Europe,2022,Sex ratio (males per 100 females),93.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
150,Europe,2022,Population aged 0 to 14 years old (percentage),15.7,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
150,Europe,2022,Population aged 60+ years old (percentage),26.4,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
150,Europe,2022,Population density,33.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
150,Europe,2022,Surface area (thousand km2),"22,135",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
150,Europe,2024,Population mid-year estimates (millions),745.08,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
150,Europe,2024,Population mid-year estimates for males (millions),359.88,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
150,Europe,2024,Population mid-year estimates for females (millions),385.20,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
150,Europe,2024,Sex ratio (males per 100 females),93.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
150,Europe,2024,Population aged 0 to 14 years old (percentage),15.3,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
150,Europe,2024,Population aged 60+ years old (percentage),27.3,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
150,Europe,2024,Population density,33.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
151,Eastern Europe,2010,Population mid-year estimates (millions),295.31,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
151,Eastern Europe,2010,Population mid-year estimates for males (millions),138.59,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
151,Eastern Europe,2010,Population mid-year estimates for females (millions),156.72,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
151,Eastern Europe,2010,Sex ratio (males per 100 females),88.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
151,Eastern Europe,2010,Population aged 0 to 14 years old (percentage),15.0,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
151,Eastern Europe,2010,Population aged 60+ years old (percentage),19.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
151,Eastern Europe,2010,Population density,16.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
151,Eastern Europe,2015,Population mid-year estimates (millions),294.97,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
151,Eastern Europe,2015,Population mid-year estimates for males (millions),138.79,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
151,Eastern Europe,2015,Population mid-year estimates for females (millions),156.18,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
151,Eastern Europe,2015,Sex ratio (males per 100 females),88.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
151,Eastern Europe,2015,Population aged 0 to 14 years old (percentage),16.0,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
151,Eastern Europe,2015,Population aged 60+ years old (percentage),21.3,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
151,Eastern Europe,2015,Population density,16.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
151,Eastern Europe,2022,Population mid-year estimates (millions),289.05,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
151,Eastern Europe,2022,Population mid-year estimates for males (millions),136.19,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
151,Eastern Europe,2022,Population mid-year estimates for females (millions),152.86,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
151,Eastern Europe,2022,Sex ratio (males per 100 females),89.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
151,Eastern Europe,2022,Population aged 0 to 14 years old (percentage),16.6,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
151,Eastern Europe,2022,Population aged 60+ years old (percentage),24.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
151,Eastern Europe,2022,Population density,16.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
151,Eastern Europe,2022,Surface area (thousand km2),"18,053",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
151,Eastern Europe,2024,Population mid-year estimates (millions),285.00,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
151,Eastern Europe,2024,Population mid-year estimates for males (millions),134.20,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
151,Eastern Europe,2024,Population mid-year estimates for females (millions),150.80,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
151,Eastern Europe,2024,Sex ratio (males per 100 females),89.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
151,Eastern Europe,2024,Population aged 0 to 14 years old (percentage),16.1,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
151,Eastern Europe,2024,Population aged 60+ years old (percentage),25.0,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
151,Eastern Europe,2024,Population density,15.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
154,Northern Europe,2010,Population mid-year estimates (millions),99.88,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
154,Northern Europe,2010,Population mid-year estimates for males (millions),48.85,Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
154,Northern Europe,2010,Population mid-year estimates for females (millions),51.03,Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
154,Northern Europe,2010,Sex ratio (males per 100 females),95.7,Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
154,Northern Europe,2010,Population aged 0 to 14 years old (percentage),17.6,Calculated by the UN Statistics Division.;Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
154,Northern Europe,2010,Population aged 60+ years old (percentage),22.4,Calculated by the UN Statistics Division.;Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
154,Northern Europe,2010,Population density,61.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
154,Northern Europe,2015,Population mid-year estimates (millions),103.06,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
154,Northern Europe,2015,Population mid-year estimates for males (millions),50.60,Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
154,Northern Europe,2015,Population mid-year estimates for females (millions),52.46,Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
154,Northern Europe,2015,Sex ratio (males per 100 females),96.5,Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
154,Northern Europe,2015,Population aged 0 to 14 years old (percentage),17.7,Calculated by the UN Statistics Division.;Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
154,Northern Europe,2015,Population aged 60+ years old (percentage),23.5,Calculated by the UN Statistics Division.;Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
154,Northern Europe,2015,Population density,62.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
154,Northern Europe,2022,Population mid-year estimates (millions),107.44,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
154,Northern Europe,2022,Population mid-year estimates for males (millions),52.99,Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
154,Northern Europe,2022,Population mid-year estimates for females (millions),54.45,Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
154,Northern Europe,2022,Sex ratio (males per 100 females),97.3,Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
154,Northern Europe,2022,Population aged 0 to 14 years old (percentage),17.3,Calculated by the UN Statistics Division.;Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
154,Northern Europe,2022,Population aged 60+ years old (percentage),25.2,Calculated by the UN Statistics Division.;Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
154,Northern Europe,2022,Population density,65.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
154,Northern Europe,2022,Surface area (thousand km2),"1,702",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
154,Northern Europe,2024,Population mid-year estimates (millions),108.96,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
154,Northern Europe,2024,Population mid-year estimates for males (millions),53.77,Projected estimate (medium fertility variant).;Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
154,Northern Europe,2024,Population mid-year estimates for females (millions),55.20,Projected estimate (medium fertility variant).;Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
154,Northern Europe,2024,Sex ratio (males per 100 females),97.4,Projected estimate (medium fertility variant).;Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
154,Northern Europe,2024,Population aged 0 to 14 years old (percentage),16.8,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.;Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
154,Northern Europe,2024,Population aged 60+ years old (percentage),25.8,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.;Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
154,Northern Europe,2024,Population density,66.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
39,Southern Europe,2010,Population mid-year estimates (millions),154.23,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
39,Southern Europe,2010,Population mid-year estimates for males (millions),75.18,"Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
39,Southern Europe,2010,Population mid-year estimates for females (millions),79.05,"Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
39,Southern Europe,2010,Sex ratio (males per 100 females),95.1,"Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
39,Southern Europe,2010,Population aged 0 to 14 years old (percentage),14.9,"Calculated by the UN Statistics Division.;Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
39,Southern Europe,2010,Population aged 60+ years old (percentage),24.0,"Calculated by the UN Statistics Division.;Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
39,Southern Europe,2010,Population density,118.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
39,Southern Europe,2015,Population mid-year estimates (millions),153.26,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
39,Southern Europe,2015,Population mid-year estimates for males (millions),74.54,"Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
39,Southern Europe,2015,Population mid-year estimates for females (millions),78.73,"Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
39,Southern Europe,2015,Sex ratio (males per 100 females),94.7,"Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
39,Southern Europe,2015,Population aged 0 to 14 years old (percentage),14.6,"Calculated by the UN Statistics Division.;Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
39,Southern Europe,2015,Population aged 60+ years old (percentage),25.9,"Calculated by the UN Statistics Division.;Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
39,Southern Europe,2015,Population density,117.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
39,Southern Europe,2022,Population mid-year estimates (millions),151.98,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
39,Southern Europe,2022,Population mid-year estimates for males (millions),74.09,"Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
39,Southern Europe,2022,Population mid-year estimates for females (millions),77.89,"Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
39,Southern Europe,2022,Sex ratio (males per 100 females),95.1,"Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
39,Southern Europe,2022,Population aged 0 to 14 years old (percentage),13.4,"Calculated by the UN Statistics Division.;Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
39,Southern Europe,2022,Population aged 60+ years old (percentage),28.8,"Calculated by the UN Statistics Division.;Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
39,Southern Europe,2022,Population density,116.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
39,Southern Europe,2022,Surface area (thousand km2),"1,295",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
39,Southern Europe,2024,Population mid-year estimates (millions),151.25,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
39,Southern Europe,2024,Population mid-year estimates for males (millions),73.76,"Projected estimate (medium fertility variant).;Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
39,Southern Europe,2024,Population mid-year estimates for females (millions),77.50,"Projected estimate (medium fertility variant).;Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
39,Southern Europe,2024,Sex ratio (males per 100 females),95.2,"Projected estimate (medium fertility variant).;Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
39,Southern Europe,2024,Population aged 0 to 14 years old (percentage),12.9,"Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.;Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
39,Southern Europe,2024,Population aged 60+ years old (percentage),29.9,"Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.;Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
39,Southern Europe,2024,Population density,116.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
155,Western Europe,2010,Population mid-year estimates (millions),188.72,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
155,Western Europe,2010,Population mid-year estimates for males (millions),91.96,Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
155,Western Europe,2010,Population mid-year estimates for females (millions),96.76,Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
155,Western Europe,2010,Sex ratio (males per 100 females),95.0,Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
155,Western Europe,2010,Population aged 0 to 14 years old (percentage),16.0,Calculated by the UN Statistics Division.;Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
155,Western Europe,2010,Population aged 60+ years old (percentage),24.2,Calculated by the UN Statistics Division.;Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
155,Western Europe,2010,Population density,173.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
155,Western Europe,2015,Population mid-year estimates (millions),192.95,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
155,Western Europe,2015,Population mid-year estimates for males (millions),94.49,Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
