T03,Population growth and indicators of fertility and mortality,,,,,
124,Canada,2010,Life expectancy at birth for both sexes (years),81.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
124,Canada,2010,Life expectancy at birth for males (years),79.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
124,Canada,2010,Life expectancy at birth for females (years),83.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
124,Canada,2015,Population annual rate of increase (percent),0.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
124,Canada,2015,Total fertility rate (children per women),1.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
124,Canada,2015,"Under five mortality rate for both sexes (per 1,000 live births)",5.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
124,Canada,2015,"Maternal mortality ratio (deaths per 100,000 population)",12,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
124,Canada,2015,Life expectancy at birth for both sexes (years),81.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
124,Canada,2015,Life expectancy at birth for males (years),79.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
124,Canada,2015,Life expectancy at birth for females (years),83.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
124,Canada,2020,Population annual rate of increase (percent),0.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
124,Canada,2020,Total fertility rate (children per women),1.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
124,Canada,2020,"Under five mortality rate for both sexes (per 1,000 live births)",5.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
124,Canada,2020,"Maternal mortality ratio (deaths per 100,000 population)",11,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
124,Canada,2020,Life expectancy at birth for both sexes (years),81.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
124,Canada,2020,Life expectancy at birth for males (years),79.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
124,Canada,2020,Life expectancy at birth for females (years),83.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
124,Canada,2024,Population annual rate of increase (percent),1.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
124,Canada,2024,Total fertility rate (children per women),1.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
124,Canada,2024,"Under five mortality rate for both sexes (per 1,000 live births)",4.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
124,Canada,2024,Life expectancy at birth for both sexes (years),82.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
124,Canada,2024,Life expectancy at birth for males (years),80.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
124,Canada,2024,Life expectancy at birth for females (years),84.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
136,Cayman Islands,2010,Population annual rate of increase (percent),2.7,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
136,Cayman Islands,2010,Total fertility rate (children per women),1.7,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
136,Cayman Islands,2010,"Under five mortality rate for both sexes (per 1,000 live births)",4.3,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
136,Cayman Islands,2010,Life expectancy at birth for both sexes (years),76.1,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
136,Cayman Islands,2010,Life expectancy at birth for males (years),73.6,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
136,Cayman Islands,2010,Life expectancy at birth for females (years),78.7,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
136,Cayman Islands,2015,Population annual rate of increase (percent),2.4,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
136,Cayman Islands,2015,Total fertility rate (children per women),1.3,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
136,Cayman Islands,2015,"Under five mortality rate for both sexes (per 1,000 live births)",2.9,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
136,Cayman Islands,2015,Life expectancy at birth for both sexes (years),78.1,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
136,Cayman Islands,2015,Life expectancy at birth for males (years),75.7,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
136,Cayman Islands,2015,Life expectancy at birth for females (years),80.6,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
136,Cayman Islands,2024,Population annual rate of increase (percent),1.9,"For statistical purposes, the data for United Kingdom do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
136,Cayman Islands,2024,Total fertility rate (children per women),1.5,"For statistical purposes, the data for United Kingdom do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
136,Cayman Islands,2024,"Under five mortality rate for both sexes (per 1,000 live births)",1.5,"For statistical purposes, the data for United Kingdom do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
136,Cayman Islands,2024,Life expectancy at birth for both sexes (years),80.5,"For statistical purposes, the data for United Kingdom do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
136,Cayman Islands,2024,Life expectancy at birth for males (years),78.2,"For statistical purposes, the data for United Kingdom do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
136,Cayman Islands,2024,Life expectancy at birth for females (years),83.0,"For statistical purposes, the data for United Kingdom do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
140,Central African Republic,2010,Population annual rate of increase (percent),1.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
140,Central African Republic,2010,Total fertility rate (children per women),6.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
140,Central African Republic,2010,"Under five mortality rate for both sexes (per 1,000 live births)",148.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
140,Central African Republic,2010,"Maternal mortality ratio (deaths per 100,000 population)","1,052",Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
140,Central African Republic,2010,Life expectancy at birth for both sexes (years),46.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
140,Central African Republic,2010,Life expectancy at birth for males (years),44.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
140,Central African Republic,2010,Life expectancy at birth for females (years),49.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
140,Central African Republic,2015,Population annual rate of increase (percent),1.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
140,Central African Republic,2015,Total fertility rate (children per women),6.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
140,Central African Republic,2015,"Under five mortality rate for both sexes (per 1,000 live births)",123.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
140,Central African Republic,2015,"Maternal mortality ratio (deaths per 100,000 population)",909,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
140,Central African Republic,2015,Life expectancy at birth for both sexes (years),51.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
140,Central African Republic,2015,Life expectancy at birth for males (years),49.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
140,Central African Republic,2015,Life expectancy at birth for females (years),54.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
140,Central African Republic,2020,Population annual rate of increase (percent),2.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
140,Central African Republic,2020,Total fertility rate (children per women),6.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
140,Central African Republic,2020,"Under five mortality rate for both sexes (per 1,000 live births)",122.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
140,Central African Republic,2020,"Maternal mortality ratio (deaths per 100,000 population)",835,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
140,Central African Republic,2020,Life expectancy at birth for both sexes (years),50.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
140,Central African Republic,2020,Life expectancy at birth for males (years),47.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
140,Central African Republic,2020,Life expectancy at birth for females (years),54.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
140,Central African Republic,2024,Population annual rate of increase (percent),3.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
140,Central African Republic,2024,Total fertility rate (children per women),6.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
140,Central African Republic,2024,"Under five mortality rate for both sexes (per 1,000 live births)",92.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
140,Central African Republic,2024,Life expectancy at birth for both sexes (years),57.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
140,Central African Republic,2024,Life expectancy at birth for males (years),55.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
140,Central African Republic,2024,Life expectancy at birth for females (years),59.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
148,Chad,2010,Population annual rate of increase (percent),3.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
148,Chad,2010,Total fertility rate (children per women),7.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
148,Chad,2010,"Under five mortality rate for both sexes (per 1,000 live births)",147.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
148,Chad,2010,"Maternal mortality ratio (deaths per 100,000 population)","1,303",Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
148,Chad,2010,Life expectancy at birth for both sexes (years),50.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
148,Chad,2010,Life expectancy at birth for males (years),49.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
148,Chad,2010,Life expectancy at birth for females (years),51.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
148,Chad,2015,Population annual rate of increase (percent),2.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
148,Chad,2015,Total fertility rate (children per women),6.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
148,Chad,2015,"Under five mortality rate for both sexes (per 1,000 live births)",128.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
148,Chad,2015,"Maternal mortality ratio (deaths per 100,000 population)","1,125",Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
148,Chad,2015,Life expectancy at birth for both sexes (years),51.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
148,Chad,2015,Life expectancy at birth for males (years),50.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
148,Chad,2015,Life expectancy at birth for females (years),52.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
148,Chad,2020,Population annual rate of increase (percent),3.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
148,Chad,2020,Total fertility rate (children per women),6.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
148,Chad,2020,"Under five mortality rate for both sexes (per 1,000 live births)",110.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
148,Chad,2020,"Maternal mortality ratio (deaths per 100,000 population)","1,063",Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
148,Chad,2020,Life expectancy at birth for both sexes (years),53.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
148,Chad,2020,Life expectancy at birth for males (years),51.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
148,Chad,2020,Life expectancy at birth for females (years),54.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
148,Chad,2024,Population annual rate of increase (percent),4.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
148,Chad,2024,Total fertility rate (children per women),6.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
148,Chad,2024,"Under five mortality rate for both sexes (per 1,000 live births)",98.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
148,Chad,2024,Life expectancy at birth for both sexes (years),55.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
148,Chad,2024,Life expectancy at birth for males (years),53.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
148,Chad,2024,Life expectancy at birth for females (years),57.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
152,Chile,2010,Population annual rate of increase (percent),1.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
152,Chile,2010,Total fertility rate (children per women),1.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
152,Chile,2010,"Under five mortality rate for both sexes (per 1,000 live births)",9.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
152,Chile,2010,"Maternal mortality ratio (deaths per 100,000 population)",23,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
152,Chile,2010,Life expectancy at birth for both sexes (years),79.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
152,Chile,2010,Life expectancy at birth for males (years),76.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
152,Chile,2010,Life expectancy at birth for females (years),81.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
152,Chile,2015,Population annual rate of increase (percent),1.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
152,Chile,2015,Total fertility rate (children per women),1.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
152,Chile,2015,"Under five mortality rate for both sexes (per 1,000 live births)",8.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
152,Chile,2015,"Maternal mortality ratio (deaths per 100,000 population)",16,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
152,Chile,2015,Life expectancy at birth for both sexes (years),80.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
152,Chile,2015,Life expectancy at birth for males (years),77.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
152,Chile,2015,Life expectancy at birth for females (years),82.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
152,Chile,2020,Population annual rate of increase (percent),0.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
152,Chile,2020,Total fertility rate (children per women),1.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
152,Chile,2020,"Under five mortality rate for both sexes (per 1,000 live births)",5.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
152,Chile,2020,"Maternal mortality ratio (deaths per 100,000 population)",15,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
152,Chile,2020,Life expectancy at birth for both sexes (years),79.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
152,Chile,2020,Life expectancy at birth for males (years),76.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
